,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clyde river,70.4692,-68.5914,34.03,100,90,11.5,CA,1623001821
1,port alfred,-33.5906,26.891,65.19,41,0,9.51,ZA,1623001793
2,lagoa vermelha,-28.2086,-51.5258,61.92,91,100,4.52,BR,1623001869
3,natchez,31.5604,-91.4032,80.82,76,75,3.44,US,1623001869
4,bardiyah,31.7561,25.0865,71.64,65,0,12.66,LY,1623001870
5,tuktoyaktuk,69.4541,-133.0374,33.8,69,90,9.22,CA,1623001820
6,bluff,-46.6,168.3333,46.22,84,53,7.94,NZ,1623001804
7,albany,42.6001,-73.9662,91.02,44,64,1.01,US,1623001537
8,cape town,-33.9258,18.4232,70.21,30,0,9.73,ZA,1623001707
9,talcahuano,-36.7167,-73.1167,53.28,62,0,3.44,CL,1623001870
10,longyearbyen,78.2186,15.6401,32.92,92,35,4.05,SJ,1623001817
11,rikitea,-23.1203,-134.9692,76.66,83,98,13.47,PF,1623001533
12,vilyuysk,63.7553,121.6247,49.96,77,100,6.29,RU,1623001871
13,viedma,-40.8135,-62.9967,54.95,34,98,13.62,AR,1623001835
14,santa cruz,-17.8,-63.1667,77.05,73,75,3.44,BO,1623001788
15,avarua,-21.2078,-159.775,71.65,68,20,4.61,CK,1623001796
16,yellowknife,62.456,-114.3525,45.32,65,75,8.01,CA,1623001831
17,ushuaia,-54.8,-68.3,37.06,81,75,0.0,AR,1623001793
18,ewa beach,21.3156,-158.0072,77.09,71,1,5.99,US,1623001871
19,tuatapere,-46.1333,167.6833,41.07,89,43,3.96,NZ,1623001837
20,arraial do cabo,-22.9661,-42.0278,84.06,58,0,6.91,BR,1623001814
21,dikson,73.5069,80.5464,30.47,85,100,10.0,RU,1623001827
22,barstow,34.8986,-117.0228,88.52,13,6,10.04,US,1623001872
23,payo,-3.7508,103.6372,71.15,96,47,2.17,ID,1623001872
24,atuona,-9.8,-139.0333,79.88,64,66,9.4,PF,1623001541
25,strezhevoy,60.7333,77.5889,48.18,89,59,7.02,RU,1623001873
26,carnarvon,-24.8667,113.6333,64.47,72,100,9.22,AU,1623001801
27,airai,-8.9266,125.4092,55.67,87,98,2.8,TL,1623001795
28,prescott,34.54,-112.4685,85.3,13,1,5.01,US,1623001873
29,mende,44.6667,3.5,54.52,73,67,8.52,FR,1623001873
30,tasiilaq,65.6145,-37.6368,42.96,91,92,4.43,GL,1623001793
31,mehamn,71.0357,27.8492,40.73,69,7,5.03,NO,1623001874
32,khatanga,71.9667,102.5,32.2,90,95,4.99,RU,1623001574
33,yulara,-25.2406,130.9889,44.44,65,1,5.75,AU,1623001874
